ShowStart
,title,url,date,location,price,artists,images
15,10月17日 北京麦田音乐节,https://www.showstart.com/event/161327,时间：2021/10/17 12:30,[北京]温榆河公园朝阳示范区西园,¥388起,艺人：秘密行动乐队/孤独的利里_LonelyLeary/谢帝/白皮书/Dr.Paper国蛋/薛之谦/沉默演讲 SilentSpeech/花墙FancyWall/徐秉龙/丹镇北京Dungeon Beijing/泥鳅Zinco/艾瑞欧ERIOE/某幻君/JoZ张哲瑜/K.ila,https://s2.showstart.com/img/2021/1002/10/00/bff001e2ef264363876bd682e807bfd1_1200_1600_739547.0x0.png
16,10月23日 菏泽海报音乐节,https://www.showstart.com/event/152433,时间：2021/10/23 14:30,[菏泽]菏泽市定陶区汽车小镇,¥198起,艺人：二手玫瑰乐队/萨满乐队The Samans/法兹乐队/醒山Awake Mountains/柳爽/动物园钉子户/送春归,https://s2.showstart.com/img/2021/0902/17/30/eb5c9e3ba2214208911ea2cba32d85dc_1200_1600_1157855.0x0.png
17,10月24日 菏泽海报音乐节,https://www.showstart.com/event/152434,时间：2021/10/24 14:30,[菏泽]菏泽市定陶区汽车小镇,¥198起,艺人：麻园诗人/理想后花园乐队/赵雷/梅卡德尔乐队/新学校废物合唱团/霓虹花园/沉舟乐队,https://s2.showstart.com/img/2021/0902/17/30/eb5c9e3ba2214208911ea2cba32d85dc_1200_1600_1157855.0x0.png
18,EC潮音节-10/15 乐队狂想曲（上）,https://www.showstart.com/event/164057,时间：2021/10/15 20:30,[成都]CDEMC·成都电子音乐中心,¥108起,艺人：法兹乐队/葡萄不愤怒乐队/失浪潮（LostWave）,https://s2.showstart.com/img/2021/0930/17/30/25ff3b6898d246eea53b17a554d6a50c_1200_1600_2602041.0x0.png
19,EC潮音节-10/16 乐队狂想曲（下）,https://www.showstart.com/event/164069,时间：2021/10/16 20:30,[成都]CDEMC·成都电子音乐中心,¥108起,艺人：沉舟乐队/惊蛰乐队/午睡留声机,https://s2.showstart.com/img/2021/0930/17/30/25ff3b6898d246eea53b17a554d6a50c_1200_1600_2602041.0x0.png
20,10月29日 2021舟山东海音乐节,https://www.showstart.com/event/164237,时间：2021/10/29 14:00,[舟山]舟山群岛新区 • 朱家尖南沙,¥280起,艺人：万能青年旅店/过失乐队DEMERIT/Twinkle Star闪星/不复之血/RETURN THE TRUTH/达闻西乐队/堆填区LANDFILLS/咖喱3000/亚细亚报童,https://s2.showstart.com/img/2021/1002/16/00/c52dd5da25764f5a9ef610e5d338af70_1200_1600_2046880.0x0.png
21,10月29日  2021青秀·绿野音乐节,https://www.showstart.com/event/164532,时间：2021/10/29 14:30,[南宁]南宁国际会展中心前广场,¥168起,艺人：麻园诗人/黑池户#,https://s2.showstart.com/img/2021/1008/19/30/20c3f74bcf5d4a1c88ccbad59c555ff6_1200_1600_1741857.0x0.png
22,10月30日 2021安阳航空音乐节,https://www.showstart.com/event/164312,时间：2021/10/30 13:00,[安阳]安阳航空运动学校,¥398起,艺人：左右乐队/南无乐队/赵雷/记忆盒子/李荣浩/朱格乐,https://s2.showstart.com/img/2021/1005/10/30/88be6987961f4bd0afd6ba5058d31b91_1200_1600_3066802.0x0.png
23,10月30日 2021舟山东海音乐节,https://www.showstart.com/event/164248,时间：2021/10/30 14:00,[舟山]舟山群岛新区 • 朱家尖南沙,¥280起,艺人：Steely Heart钢心乐队/板砖乐队/瑞王坟/Earlybus/梅卡德尔乐队/先知玛莉MarySeetheFuture/灰汁团/Sky King Jack乐队/椅子乐团 The Chairs/郭采洁,https://s2.showstart.com/img/2021/1002/16/00/c52dd5da25764f5a9ef610e5d338af70_1200_1600_2046880.0x0.png
24,10月30日  2021青秀·绿野音乐节,https://www.showstart.com/event/164539,时间：2021/10/30 14:30,[南宁]南宁国际会展中心,¥288,艺人：Gibb-Z/高天佐Trouble.Z/艾志恒,https://s2.showstart.com/img/2021/1008/20/00/bc63cb50b91f496e9c434d7049a8df2b_1200_1600_1743501.0x0.png
